item,evaluator,Netherite Ingots,Diamonds,Gold Ingots,Emeralds,Iron Ingots,Copper Ingots,Redstone Dust,Lapis Lazuli,Coal
Sea Lantern,Axeman_76,,,,,15,,,,
Bell,Axeman_76,,,6,,,,,,
Bell,Cowman7,,0.5,,,,,,,
Sherd,Axeman_76,,,10,,,,,,
Sherd,Decoy,,,,,,,,,
Sherd,Decoy,,,,,,,,,
Sherd,Decoy,,,,,,,,,
Amethyst Shard,Decoy,,,,,,,,,
Amethyst Shard,Decoy,,,,,,,,,
Amethyst Shard,Axeman_76,,,,,3,,,,
Amethyst Shard,Decoy,,,,,,,,,
Amethyst Shard,Decoy,,,,,,,,,
Amethyst Shard,Decoy,,,,,,,,,
Sculk Sensor,Decoy,,,,,,,,,
Sculk Sensor,Decoy,,,,,,,,,
Sculk Sensor,Axeman_76,,0.5,,,,,,,
Sculk Sensor,Decoy,,,,,,,,,
Sculk Sensor,Decoy,,,,,,,,,
Sculk Sensor,Decoy,,,,,,,,,
Sculk Shrieker,Decoy,,,,,,,,,
Sculk Shrieker,Decoy,,,,,,,,,
Sculk Shrieker,Axeman_76,,0.5,,,,,,,
Sculk Shrieker,Decoy,,,,,,,,,
Sculk Shrieker,Decoy,,,,,,,,,
Sculk Shrieker,Decoy,,,,,,,,,
Sculk Catalyst,Decoy,,,,,,,,,
Sculk Catalyst,Decoy,,,,,,,,,
Sculk Catalyst,Axeman_76,,1,,,,,,,
Sculk Catalyst,Decoy,,,,,,,,,
Sculk Catalyst,Decoy,,,,,,,,,
Sculk Catalyst,Decoy,,,,,,,,,
Sniffer Egg,Decoy,,,,,,,,,
Sniffer Egg,Decoy,,,,,,,,,
Sniffer Egg,Axeman_76,,2,,,,,,,
Sniffer Egg,Decoy,,,,,,,,,
Sniffer Egg,Decoy,,,,,,,,,
Sniffer Egg,Decoy,,,,,,,,,
Bee Nest,Decoy,,,,,,,,,
Bee Nest,Decoy,,,,,,,,,
Bee Nest,Axeman_76,,,8,,,,,,
Bee Nest,Decoy,,,,,,,,,
Bee Nest,Decoy,,,,,,,,,
Bee Nest,Decoy,,,,,,,,,
Honey Comb,Decoy,,,,,,,,,
Honey Comb,Decoy,,,,,,,,,
Honey Comb,Axeman_76,,,,,2.5,,,,
Honey Comb,Decoy,,,,,,,,,
Honey Comb,Decoy,,,,,,,,,
Honey Comb,Decoy,,,,,,,,,
