name,price_type,description,ordering
Netherite Hoe,Fixed Price,,305
Diamond Sword,Fixed Price,,306
Diamond Pickaxe,Fixed Price,,307
Diamond Axe,Fixed Price,,308
Diamond Shovel,Fixed Price,,309
Diamond Hoe,Fixed Price,,310
Gold Sword,Fixed Price,,311
Gold Pickaxe,Fixed Price,,312
Gold Axe,Fixed Price,,313
Gold Shovel,Fixed Price,,314
Gold Hoe,Fixed Price,,315
Iron Sword,Fixed Price,,316
Iron Pickaxe,Fixed Price,,317
Iron Axe,Fixed Price,,318
Iron Shovel,Fixed Price,,319
Iron Hoe,Fixed Price,,320
Stone Sword,Fixed Price,,321
Stone Pickaxe,Fixed Price,,322
Stone Axe,Fixed Price,,323
Stone Shovel,Fixed Price,,324
Stone Hoe,Fixed Price,,325
Wood Sword,Fixed Price,,326
Wood Pickaxe,Fixed Price,,327
Wood Axe,Fixed Price,,328
Wood Shovel,Fixed Price,,329
Wood Hoe,Fixed Price,,330
--- Section Divider 9.3 ---,Section Divider,,331
Trident,Market Rate,,332
Mace,Fixed Price,,333
Shield,Fixed Price,,334
Shears,Fixed Price,,335
Flint & Steel,Fixed Price,,336
Brush,Fixed Price,,337
--- Section Divider 9.6 ---,Section Divider,,338
Gunpowder,Market Rate,,339
Fire Charge,Fixed Price,,340
Fireworks,Fixed Price,,341
TNT,Fixed Price,,342
Spectral Arrow,Fixed Price,,343
Redstone Torch,Fixed Price,,401
Repeater,Fixed Price,,402
Comparator,Fixed Price,,403
Observer,Fixed Price,,404
Piston,Fixed Price,,405
Sticky Piston,Fixed Price,,406
Daylight Detector,Fixed Price,,407
Redstone Lamp,Fixed Price,,408
Dispenser,Fixed Price,,409
Dropper,Fixed Price,,410
Hopper,Fixed Price,,411
Target,Fixed Price,,412
Note block,Fixed Price,,413
Jukebox,Fixed Price,,414
Crafter,Fixed Price,,415
--- Section Divider 10 ---,Section Divider,,416
Enchantment Table,Fixed Price,,417
Stonecutter,Fixed Price,,418
Smithing Table,Fixed Price,,419
Blast Furnace,Fixed Price,,420
Brewing Stand,Fixed Price,,421
Cauldron,Fixed Price,,422
Anvil,Fixed Price,,423
Ender Chest,Fixed Price,,424
Lodestone,Fixed Price,,425
--- Section Divider 11 ---,Section Divider,,426
--- Section Divider 11.5 ---,Section Divider,,427
Sculk Sensor,Market Rate,,428
Calibrated Sculk Sensor,Fixed Price,,429
Sculk Shrieker,Market Rate,,430
Sculk Catalyst,Market Rate,,431
--- Section Divider 12 ---,Section Divider,,432
--- Section Divider 13 ---,Section Divider,,433
Torch,Fixed Price,,434
Lantern,Fixed Price,,435
Candle,Fixed Price,,436
--- Section Divider 14 ---,Section Divider,,437
--- Section Divider 14.5 ---,Section Divider,,438
Minecart,Fixed Price,,439
Rail,Fixed Price,,440
Powered Rail,Fixed Price,,441
Detector Rail,Fixed Price,,442
Activator Rail,Fixed Price,,443
Turtle Egg,Market Rate,,501
Sniffer Egg,Market Rate,,502
Wither Skull,Market Rate,,503
Wither Rose,Market Rate,,504
Dragon Head,Market Rate,,505
Dragon's Breath,Market Rate,,506
Turtle Scute,Market Rate,,507
Armadillo Scute,Market Rate,,508
Bee Nest,Market Rate,,509
--- Section Divider 15 ---,Section Divider,,510
Item Frame,Fixed Price,,511
Flower Pot,Fixed Price,,512
Decorated Pot,Fixed Price,Non-sherd decorated pot (made of just 4 clay bricks),513
Bell,Market Rate,,514
Respawn Anchor,Fixed Price,,515
Clock,Fixed Price,,516
Compass,Fixed Price,,517
Campfire,Fixed Price,,518
Spyglass,Fixed Price,,519
--- Section Divider 16 --,Section Divider,,520
Lightning Rod,Fixed Price,,521
End Rod,Fixed Price,,522
Tinted Glass,Fixed Price,,523
Gold Pressure Plate,Fixed Price,,524
Iron Pressure Plate,Fixed Price,,525
Iron Door,Fixed Price,,526
Iron Trapdoor,Fixed Price,,527
Iron Bars,Fixed Price,,528
Copper Bulb,Fixed Price,,529
Copper Door,Fixed Price,,530
Copper Grate,Fixed Price,,531
Copper Trapdoor,Fixed Price,,532
Chain,Fixed Price,,533
Hanging Sign,Fixed Price,,534
--- Section Divider 17 ---,Section Divider,,535
Trial Key,Market Rate,,536
Ominous Trial Key,Market Rate,,537
Ominous Bottle,Market Rate,,538
--- Section Divider 18 ---,Section Divider,,539
Eye of Ender,Fixed Price,,540
Glistering Melon,Fixed Price,,541
Green Dye,Fixed Price,,542
Creaking Heart,Fixed Price,,543
