building,evaluator,Netherite Ingots,Diamonds,Gold Ingots,Emeralds,Iron Ingots,Copper Ingots,Redstone Dust,Lapis Lazuli,Coal
The Log,Tallerfiber1,,,5,,,,,,
Evan Base East RR Stop,Decoy,,,,,,,,,
Evan Base East RR Stop,OldManReidGaming,,,,,,,4,4,4
Evan Base East RR Stop,Axeman_76,,,,,,,,1,
Evan Base East RR Stop,Cowman7,,,,,,,,,1
Evan Base East RR Stop,Decoy,,,,,,,,,
Evan Base East RR Stop,Decoy,,,,,,,,,
Former OMR Embassy,Decoy,,,,,,,,,
Former OMR Embassy,OldManReidGaming,,,10,,,,,,
Former OMR Embassy,Axeman_76,,,12,,,,,,
Former OMR Embassy,Cowman7,,,23,,,,,,
Former OMR Embassy,Decoy,,,,,,,,,
Former OMR Embassy,Tallerfiber1,,,12,,,,,,
Crippal Archery Arena,Decoy,,,,,,,,,
Crippal Archery Arena,OldManReidGaming,,6,,,,,,,
Crippal Archery Arena,Axeman_76,,6,,,,,,,
Crippal Archery Arena,Cowman7,,3.789,,,,,,,
Crippal Archery Arena,Decoy,,,,,,,,,
Crippal Archery Arena,Tallerfiber1,,4,,,,,,,
Evan Base West RR Stop,Decoy,,,,,,,,,
Evan Base West RR Stop,OldManReidGaming,,,,2,1,,,,
Evan Base West RR Stop,Axeman_76,,,,,2,,,,
Evan Base West RR Stop,Cowman7,,,,,,,,,
Evan Base West RR Stop,Decoy,,,,,,,,2,
Evan Base West RR Stop,Decoy,,,,,,,,,
Evan's House,Decoy,,,,,,,,,
Evan's House,OldManReidGaming,,8,,,,,,,
Evan's House,Axeman_76,,7,,,,,,,
Evan's House,Cowman7,,8,,,,,,,
Evan's House,Decoy,,,,,,,,,
Evan's House,Tallerfiber1,,,,,,,,,
Twin Tit Towers,Decoy,,,,,,,,,
Twin Tit Towers,OldManReidGaming,,,2,,,,,,
Twin Tit Towers,Axeman_76,,,7,,,,,,
Twin Tit Towers,Cowman7,,,8,,16,,,,
Twin Tit Towers,Decoy,,,,,,,,,
Twin Tit Towers,Tallerfiber1,,,5,,64,,,,
EOMR East Crippal Company,Decoy,,,,,,,,,
EOMR East Crippal Company,OldManReidGaming,,25,,,,,,,
EOMR East Crippal Company,Axeman_76,,12,,,,,,,
EOMR East Crippal Company,Cowman7,,10,,,,,,,
EOMR East Crippal Company,Decoy,,,,,,,,,
EOMR East Crippal Company,Tallerfiber1,,15,,,,,,,
"The Capitol Building of the ""Nation"" of Crippal",Decoy,,,,,,,,,
"The Capitol Building of the ""Nation"" of Crippal",OldManReidGaming,,2,,,,,,,
"The Capitol Building of the ""Nation"" of Crippal",Axeman_76,,1,,,,,,,
"The Capitol Building of the ""Nation"" of Crippal",Cowman7,,,20,,,,,,
"The Capitol Building of the ""Nation"" of Crippal",Decoy,,,,,,,,,
"The Capitol Building of the ""Nation"" of Crippal",Decoy,,,,,,,,,
Sphere RR Stop,Decoy,,,,,,,,,
Sphere RR Stop,OldManReidGaming,,,,1,,,,,
Sphere RR Stop,Axeman_76,,,,,1,,,,
Sphere RR Stop,Cowman7,,,,,,,,2,
Sphere RR Stop,Decoy,,,,,,,,,
Sphere RR Stop,Decoy,,,,,,,,,
AfricInn 2.0,Decoy,,,,,,,,,
AfricInn 2.0,OldManReidGaming,,10,,,,,,,
AfricInn 2.0,Axeman_76,,7,,,,,,,
AfricInn 2.0,Cowman7,,7,,,,,,,
AfricInn 2.0,Decoy,,,,,,,,,
AfricInn 2.0,Decoy,,,,,,,,,
A Tall bombed building,Decoy,,,,,,,,,
A Tall bombed building,OldManReidGaming,,,11,,,,,,
A Tall bombed building,Axeman_76,,0.5,,,,,,,
A Tall bombed building,Cowman7,,0.5,,,,,,,
A Tall bombed building,Decoy,,,,,,,,,
A Tall bombed building,Decoy,,,,,,,,,
Trump Tower,Decoy,,,,,,,,,
Trump Tower,OldManReidGaming,,18,,,,,,,
Trump Tower,Axeman_76,,20,,,,,,,
Trump Tower,Cowman7,,17,,,,,,,
Trump Tower,Decoy,,,,,,,,,
Trump Tower,Decoy,,,,,,,,,
Yee Ol' Graveyard,Decoy,,,,,,,,,
Yee Ol' Graveyard,OldManReidGaming,,6,,,,,,,
Yee Ol' Graveyard,Axeman_76,,4,,,,,,,
Yee Ol' Graveyard,Cowman7,,8,,,,,,,
Yee Ol' Graveyard,Decoy,,,,,,,,,
Yee Ol' Graveyard,Decoy,,,,,,,,,
Camp,Decoy,,,,,,,,,
Camp,OldManReidGaming,,,16,,,,,,
Camp,Axeman_76,,1,,,,,,,
Camp,Cowman7,,1.5,,,,,,,
Camp,Decoy,,,,,,,,,
Camp,Decoy,,,,,,,,,
Danav's House,Decoy,,,,,,,,,
Danav's House,Decoy,,,,,,,,,
Danav's House,Axeman_76,,7,,,,,,,
Danav's House,Decoy,,,,,,,,,
Danav's House,Decoy,,,,,,,,,
Danav's House,Decoy,,,,,,,,,
Danav's Frigate,Decoy,,,,,,,,,
Danav's Frigate,OldManReidGaming,,11,,,,,,,
Danav's Frigate,Axeman_76,,6,,,,,,,
Danav's Frigate,Cowman7,,6,,,,,,,
Danav's Frigate,Decoy,,,,,,,,,
Danav's Frigate,Decoy,,,,,,,,,
St. Wend's Cathedral,Decoy,,,,,,,,,
St. Wend's Cathedral,OldManReidGaming,,9,,,,,,,
St. Wend's Cathedral,Axeman_76,,6,,,,,,,
St. Wend's Cathedral,Cowman7,,7,,,,,,,
St. Wend's Cathedral,Decoy,,,,,,,,,
St. Wend's Cathedral,Decoy,,,,,,,,,
Evan's Ocean Villa,Decoy,,,,,,,,,
Evan's Ocean Villa,OldManReidGaming,,,25,,,,,,
Evan's Ocean Villa,Axeman_76,,1,,,,3,49,,
Evan's Ocean Villa,Cowman7,,0.5,,,,,,,2
Evan's Ocean Villa,Decoy,,,,,,,,,
Evan's Ocean Villa,Decoy,,,,,,,,,
Leaf Pyramid,Decoy,,,,,,,,,
Leaf Pyramid,OldManReidGaming,,,27,,,,,,
Leaf Pyramid,Axeman_76,,1,,,,,,,
Leaf Pyramid,Cowman7,,,2,,,,,,
Leaf Pyramid,Decoy,,,,,,,,,
Leaf Pyramid,Decoy,,,,,,,,,
Random Ass Birtch House (RABH),Decoy,,,,,,,,,
Random Ass Birtch House (RABH),OldManReidGaming,,,,12,,,,,
Random Ass Birtch House (RABH),Axeman_76,,,3,,,,,,
Random Ass Birtch House (RABH),Cowman7,,,4,,,,,,
Random Ass Birtch House (RABH),Decoy,,,,,,,,,
Random Ass Birtch House (RABH),Decoy,,,,,,,,,
Gay Sheep Farm,Decoy,,,,,,,,,
Gay Sheep Farm,OldManReidGaming,,6,,,,,,,
Gay Sheep Farm,Axeman_76,,15,,,,,,,
Gay Sheep Farm,Cowman7,,7,,,,,,,
Gay Sheep Farm,Decoy,,,,,,,,,
Gay Sheep Farm,Decoy,,,,,,,,,
Random Ass Stone House (RASH),Decoy,,,,,,,,,
Random Ass Stone House (RASH),OldManReidGaming,,4,,,,,,,
Random Ass Stone House (RASH),Axeman_76,,5,,,,,,,
Random Ass Stone House (RASH),Cowman7,,10,,,,,,,
Random Ass Stone House (RASH),Decoy,,,,,,,,,
Random Ass Stone House (RASH),Decoy,,,,,,,,,
QuInn,Decoy,,,,,,,,,
QuInn,OldManReidGaming,,44,,,,,,,
QuInn,Axeman_76,,15,,,,,,,
QuInn,Cowman7,,15,,,,,,,
QuInn,Decoy,,,,,,,,,
QuInn,Decoy,,,,,,,,,
Creeper Farm,Decoy,,,,,,,,,
Creeper Farm,OldManReidGaming,,64,,,,,,,
Creeper Farm,Axeman_76,,25,,,,,,,
Creeper Farm,Cowman7,,20,,,,,,,
Creeper Farm,Decoy,,,,,,,,,
Creeper Farm,Decoy,,,,,,,,,
Big Black Cock House (BBC House),Decoy,,,,,,,,,
Big Black Cock House (BBC House),OldManReidGaming,,4,,,,,,1,
Big Black Cock House (BBC House),Axeman_76,,4,,,,,,,
Big Black Cock House (BBC House),Cowman7,,4,,,,,,,
Big Black Cock House (BBC House),Decoy,,,,,,,,,
Big Black Cock House (BBC House),Decoy,,,,,,,,,
Creeper Farm AFK Platform,Decoy,,,,,,,,,
Creeper Farm AFK Platform,OldManReidGaming,,,,,,,9,,
Creeper Farm AFK Platform,Axeman_76,,,,,,1,,,
Creeper Farm AFK Platform,Cowman7,,,,,,,2,,
Creeper Farm AFK Platform,Decoy,,,,,,,,,
Creeper Farm AFK Platform,Decoy,,,,,,,,,
Windmill,Decoy,,,,,,,,,
Windmill,OldManReidGaming,,40,,,,,,,
Windmill,Axeman_76,,35,,,,,,,
Windmill,Cowman7,,30,,,,,,,
Windmill,Decoy,,,,,,,,,
Windmill,Decoy,,,,,,,,,
UN Apartments,Decoy,,,,,,,,,
UN Apartments,OldManReidGaming,,100,,,,,,,
UN Apartments,Axeman_76,,75,,,,,,,
UN Apartments,Cowman7,,70,,,,,,,
UN Apartments,Decoy,,,,,,,,,
UN Apartments,Decoy,,,,,,,,,
Isaac Pillager Tower,Decoy,,,,,,,,,
Isaac Pillager Tower,OldManReidGaming,,64,,,,,,,
Isaac Pillager Tower,Axeman_76,,55,,,,,,,
Isaac Pillager Tower,Cowman7,,56,,,,,,,
Isaac Pillager Tower,Decoy,,,,,,,,,
Isaac Pillager Tower,Decoy,,,,,,,,,
-1100 RR Stop,Decoy,,,,,,,,,
-1100 RR Stop,OldManReidGaming,,0,,,,,,,
-1100 RR Stop,Axeman_76,,,,,,,,,1
-1100 RR Stop,Cowman7,,0,,,,,,,
-1100 RR Stop,Decoy,,,,,,,,,
-1100 RR Stop,Decoy,,,,,,,,,
Knoo Brothel of Objects also GuanKnoonamo Motel,Decoy,,,,,,,,,
Knoo Brothel of Objects also GuanKnoonamo Motel,OldManReidGaming,,3.000,,,,,,,
Knoo Brothel of Objects also GuanKnoonamo Motel,Axeman_76,,5.000,2,,,,,,
Knoo Brothel of Objects also GuanKnoonamo Motel,Cowman7,,3.000,,,,,,,
Knoo Brothel of Objects also GuanKnoonamo Motel,Decoy,,,,,,,,,
Knoo Brothel of Objects also GuanKnoonamo Motel,Tallerfiber1,,2.000,,,,,,,
GuanKnoonamo Company Trade Post,Decoy,,,,,,,,,
GuanKnoonamo Company Trade Post,OldManReidGaming,,1,,,,,,,
GuanKnoonamo Company Trade Post,Axeman_76,,1.8,,,,,,,
GuanKnoonamo Company Trade Post,Cowman7,,2,,,,,,,
GuanKnoonamo Company Trade Post,Decoy,,,,,,,,,
GuanKnoonamo Company Trade Post,Tallerfiber1,,,,,,,,,
GuanKnoonamo Storage,Decoy,,,,,,,,,
GuanKnoonamo Storage,OldManReidGaming,,,6,,,,,,
GuanKnoonamo Storage,Axeman_76,,5.000,2,,,,,,
GuanKnoonamo Storage,Cowman7,,,8,,,,,,
GuanKnoonamo Storage,Decoy,,,,,,,,,
GuanKnoonamo Storage,Tallerfiber1,,2.000,,,,,,,
Knoo House 2.0,Decoy,,,,,,,,,
Knoo House 2.0,OldManReidGaming,,7.000,,,,,,,
Knoo House 2.0,Axeman_76,,5.000,,,,,,,
Knoo House 2.0,Cowman7,,7.000,,,,,,,
Knoo House 2.0,Decoy,,,,,,,,,
Knoo House 2.0,Tallerfiber1,,5.000,,,,,,,
Wind Whispering Yoga Studio,Decoy,,,,,,,,,
Wind Whispering Yoga Studio,OldManReidGaming,,2.000,,,,,,,
Wind Whispering Yoga Studio,Axeman_76,,6.500,,,,,,,
Wind Whispering Yoga Studio,Cowman7,,4.000,,,,,,,
Wind Whispering Yoga Studio,Decoy,,,,,,,,,
Wind Whispering Yoga Studio,Tallerfiber1,,7.000,,,,,,,
Grum Station,Decoy,,,,,,,,,
Grum Station,OldManReidGaming,,,2,,,,,,
Grum Station,Axeman_76,,,,8,,,,,
Grum Station,Cowman7,,,,7,,,,,
Grum Station,Decoy,,,,,,,,,
Grum Station,Decoy,,,,,,,,,
"Knoo Court: The Law ""Center"" of the ""Developed"" World",Decoy,,,,,,,,,
"Knoo Court: The Law ""Center"" of the ""Developed"" World",OldManReidGaming,,6.000,,,,,,,
"Knoo Court: The Law ""Center"" of the ""Developed"" World",Axeman_76,,6.000,,,,,,,
"Knoo Court: The Law ""Center"" of the ""Developed"" World",Cowman7,,5.000,,,,,,,
"Knoo Court: The Law ""Center"" of the ""Developed"" World",Decoy,,,,,,,,,
"Knoo Court: The Law ""Center"" of the ""Developed"" World",Tallerfiber1,,6.000,,,,,,,
Knoo Harbor,Decoy,,,,,,,,,
Knoo Harbor,OldManReidGaming,,50.000,,,,,,,
Knoo Harbor,Axeman_76,,65.000,,,,,,,
Knoo Harbor,Cowman7,,50.000,,,,,,,
Knoo Harbor,Decoy,,,,,,,,,
Knoo Harbor,Tallerfiber1,,70.000,,,,,,,
Giant Crafting Table House,Decoy,,,,,,,,,
Giant Crafting Table House,OldManReidGaming,,14.000,,,,,,,
Giant Crafting Table House,Axeman_76,,20.000,,,,,,,
Giant Crafting Table House,Cowman7,,22.000,,,,,,,
Giant Crafting Table House,Decoy,,,,,,,,,
Giant Crafting Table House,Tallerfiber1,,50.000,,,,,,,
GuanKnoonamo Farms,Decoy,,,,,,,,,
GuanKnoonamo Farms,OldManReidGaming,,6.000,,,,,,,
GuanKnoonamo Farms,Axeman_76,,25.000,,,,,,,
GuanKnoonamo Farms,Cowman7,,14.000,,,,,,,
GuanKnoonamo Farms,Decoy,,,,,,,,,
GuanKnoonamo Farms,Tallerfiber1,,50.000,,,,,,,
GuanKnoonamo Watchtower,Decoy,,,,,,,,,
GuanKnoonamo Watchtower,OldManReidGaming,,16.000,,,,,,,
GuanKnoonamo Watchtower,Axeman_76,,25.000,,,,,,,
GuanKnoonamo Watchtower,Cowman7,,18.000,,,,,,,
GuanKnoonamo Watchtower,Decoy,,,,,,,,,
GuanKnoonamo Watchtower,Tallerfiber1,,25.000,,,,,,,
Charlie & Miranda's Dick,Decoy,,,,,,,,,
Charlie & Miranda's Dick,OldManReidGaming,,32.000,,,,,,,
Charlie & Miranda's Dick,Axeman_76,,45.000,,,,,,,
Charlie & Miranda's Dick,Cowman7,,50.000,,,,,,,
Charlie & Miranda's Dick,Decoy,,,,,,,,,
Charlie & Miranda's Dick,Tallerfiber1,,35.000,,,,,,,
Oxidome,Decoy,,,,,,,,,
Oxidome,OldManReidGaming,,25,,,,,,,
Oxidome,Axeman_76,,27,,,,,,,
Oxidome,Cowman7,,32,,,,,,,
Oxidome,Decoy,,,,,,,,,
Oxidome,Tallerfiber1,,27,,,,,,,
Far Castle,Decoy,,,,,,,,,
Far Castle,OldManReidGaming,,80,,,,,,,
Far Castle,Axeman_76,,80,,,,,,,
Far Castle,Cowman7,,70,,,,,,,
Far Castle,Decoy,,,,,,,,,
Far Castle,Tallerfiber1,,75,,,,,,,
Knoo Shed,Decoy,,,,,,,,,
Knoo Shed,OldManReidGaming,,,14,,,,,,
Knoo Shed,Axeman_76,,6.000,,,,,,,
Knoo Shed,Cowman7,,,20,,,,,,
Knoo Shed,Decoy,,,,,,,,,
Knoo Shed,Tallerfiber1,,3.000,,,,,,,
GuanKnoonamo Bay Prison Tower,Decoy,,,,,,,,,
GuanKnoonamo Bay Prison Tower,OldManReidGaming,,64.000,,,,,,,
GuanKnoonamo Bay Prison Tower,Axeman_76,,50.000,,,,,,,
GuanKnoonamo Bay Prison Tower,Cowman7,,43.000,,,,,,,
GuanKnoonamo Bay Prison Tower,Decoy,,,,,,,,,
GuanKnoonamo Bay Prison Tower,Tallerfiber1,,30.000,,,,,,,
EOMR-IOK Embassy,Decoy,,,,,,,,,
EOMR-IOK Embassy,OldManReidGaming,,,3,,,,,,
EOMR-IOK Embassy,Axeman_76,,,6,,,,,,
EOMR-IOK Embassy,Cowman7,,,4,,,,,,
EOMR-IOK Embassy,Decoy,,,,,,,,,
EOMR-IOK Embassy,Decoy,,,,,,,,,
Mountaintop Birch House,Decoy,,,,,,,,,
Mountaintop Birch House,OldManReidGaming,,,12,,,,,,
Mountaintop Birch House,Axeman_76,,1.000,1,,,,,,
Mountaintop Birch House,Cowman7,,,20,,,,,,
Mountaintop Birch House,Decoy,,,,,,,,,
Mountaintop Birch House,Tallerfiber1,,1.000,,,,,,,
Knew Knoo City Information Center,Decoy,,,,,,,,,
Knew Knoo City Information Center,OldManReidGaming,,2.000,,,,,,,
Knew Knoo City Information Center,Axeman_76,,5.000,,,,,,,
Knew Knoo City Information Center,Cowman7,,1.000,,,,,,,
Knew Knoo City Information Center,Decoy,,,,,,,,,
Knew Knoo City Information Center,Tallerfiber1,,4.000,,,,,,,
Influence Station,Decoy,,,,,,,,,
Influence Station,OldManReidGaming,,3,,,,,,,
Influence Station,Axeman_76,,1,,,,,,,
Influence Station,Cowman7,,,8,,,,,,
Influence Station,Decoy,,,,,,,,,
Influence Station,Decoy,,,,,,,,,
Grum Zoo/Shopping Mall/Basketball Court/Farm,Decoy,,,,,,,,,
Grum Zoo/Shopping Mall/Basketball Court/Farm,OldManReidGaming,,120.000,,,,,,,
Grum Zoo/Shopping Mall/Basketball Court/Farm,Axeman_76,,116.000,,,,,,,
