name,territory,owner,main_builder,y_level_high_pt,y_level_ground,year_started,completed,x_coordinate,z_coordinate,historic_site,architectural_genius,mopq_award,architectural_style,size,materials,furnished
OMR Mining Company West Bozeman,"Bozeman, Montana",EOMR,OldManReidGaming,84,80,2020,TRUE,-5,495,FALSE,FALSE,,OMR Primitive,,,
Mining Slaves Quarters,"Bozeman, Montana",EOMR,OldManReidGaming,108,105,2020,TRUE,124,381,FALSE,FALSE,,OMR Primitive,,,
Welcome to Belize Highway,"Bozeman, Montana",EOMR,HAZ6R,96,73,2023,TRUE,71,572,FALSE,FALSE,,,,,
CDS Hotel,CDS Mainland,CDS,Danav215,108,72,2020,TRUE,124,-101,FALSE,FALSE,,,,,
JWO2 City,CDS Mainland,CDS,Danav215,94,63,2019,TRUE,27,-93,FALSE,FALSE,,,,,
Mafia Outpost #1,CDS Mainland,CDS,Danav215,85,69,2020,TRUE,113,-146,FALSE,FALSE,,,,,
Danny's House,CDS Mainland,CDS,Vullby,75.5,63,2019,TRUE,78,-64,FALSE,FALSE,,,,,
CDS Castle,CDS Mainland,CDS,Danav215,73,63,2019,TRUE,30,-52,FALSE,FALSE,,,,,
Cloak and Dagger Society,CDS Mainland,CDS,Danav215,75,67,2019,TRUE,84,-93,FALSE,FALSE,,,,,
Getaway Chopper Osprey-007,CDS Mainland,CDS,Danav215,76,68,2020,TRUE,108,-175,FALSE,FALSE,,,,,
Private Smokes,CDS Mainland,CDS,Danav215,69.5,63,2020,TRUE,88,-194,FALSE,FALSE,,,,,
CDS Mafia Guards,CDS Mainland,CDS,Danav215,70.5,64,2020,TRUE,80,-124,FALSE,FALSE,,Statues,,,
Amogh's House,CDS Mainland,CDS,Beardofgimili,69,64,2019,TRUE,58,-86,FALSE,FALSE,,,,,
Grum & Pern Gaylard Field,Collegia,IOK,TallerFiber1,79,65,2020,TRUE,212,121,FALSE,FALSE,Nominated,Specialty,,,
#SJW Hall,Collegia,EOMR,OldManReidGaming,79,66,2019,TRUE,53,131,FALSE,FALSE,,OMR Brutalist,,,
OMR College School of Engineering,Collegia,EOMR,OldManReidGaming,78,66,2020,TRUE,187,164,FALSE,FALSE,,,,,
College Station Hub,Collegia,UN,"Axeman_76, Cowman7",79,67,2020,TRUE,80,132,FALSE,FALSE,,,,,
Knoo Castle,Collegia,IOK,TallerFiber1,80,70,2020,TRUE,148,94,FALSE,FALSE,,,,,
Isaac Hall,Collegia,NOI,Axeman_76,74.5,66,2019,TRUE,51,161,TRUE,FALSE,,,,,
Glass Cross Residence Hall,Collegia,EOMR,OldManReidGaming,74,69,2020,TRUE,176,140,FALSE,FALSE,,,,,
OMR College School of Business,Collegia,EOMR,OldManReidGaming,94,89,2022,FALSE,228,286,FALSE,FALSE,,,,,
OMR College Entrapranure Center,Collegia,EOMR,OldManReidGaming,90,85,2022,FALSE,263,202,FALSE,FALSE,,,,,
On-Campus Gambling House,Collegia,EOMR,OldManReidGaming,67,63,2019,TRUE,-4,165,FALSE,FALSE,,OMR Primitive,,,
Grum & Pern Field Station,Collegia,UN,OldManReidGaming,72.5,69,2020,TRUE,161,140,FALSE,FALSE,,,,,
New College Building,Collegia,EOMR,OldManReidGaming,75,64,2023,FALSE,26,179,FALSE,FALSE,,,,,
OMR College UN International Dormitory,Collegia,UN,"Axeman_76, Cowman7",,,2024,TRUE,121,132,FALSE,FALSE,,,,,
Crusty House,Crustyland,NOI,pebblyboy,70,63,2023,FALSE,-486,-148,FALSE,FALSE,,,,,
Crustyland Ice Boat Station,Crustyland,NOI,Axeman_76,70,63,2023,TRUE,-488,-114,FALSE,FALSE,,,,,
Dashie Pene Island,Dashie Desert,EOMR,Triton1037,85.5,63,2022,TRUE,-666,735,FALSE,FALSE,,,,,
Dashie Watchtower,Dashie Desert,EOMR,OldManReidGaming,80,63,2022,TRUE,-651,691,FALSE,FALSE,,,,,
OMR Logging Dashieland Ofiice,Dashie Desert,EOMR,OldManReidGaming,70,64,2022,TRUE,-641,669,FALSE,FALSE,,,,,
Dashie Desert Farm,Dashie Desert,EOMR,OldManReidGaming,65,64,2023,TRUE,-698,659,FALSE,FALSE,,,,,
Trump Tower,Desert of Gett,CRP,Yahtta,149,71,2019,TRUE,-331,366,FALSE,FALSE,,Gett Ruins,,,
A Tall bombed building,Desert of Gett,CRP,Yahtta,110,69,2019,TRUE,-315,337,FALSE,FALSE,,Gett Ruins,,,
AfricInn 2.0,Desert of Gett,CRP,"OldManReidGaming, Axeman_76",107,74,2019,TRUE,-372,328,FALSE,FALSE,,3rd-World Eyesores,,,
Sphere RR Stop,Desert of Gett,UN,Yahtta,100,74,2019,TRUE,-299,392,FALSE,FALSE,,,,,
"The Capitol Building of the ""Nation"" of Crippal",Desert of Gett,CRP,Yahtta,84,69,2019,TRUE,-290,326,FALSE,FALSE,,Gett Ruins,,,
EOMR East Crippal Company,Desert of Gett,EOMR,Fr0zenGh0ul,72.5,63,2021,TRUE,-240,339,FALSE,FALSE,,,,,
Twin Tit Towers,Desert of Gett,CRP,Yahtta,71,63,2019,TRUE,-302,510,FALSE,FALSE,,Gett Ruins,,,
Evan's House,Desert of Gett,CRP,Yahtta,71,64,2019,TRUE,-322,550,FALSE,FALSE,,Gett Ruins,,,
Crippal Archery Arena,Desert of Gett,CRP,Yahtta,77,71,2019,TRUE,-265,436,FALSE,FALSE,,,,,
Evan Base West RR Stop,Desert of Gett,UN,Yahtta,70,64,2019,TRUE,-344,527,FALSE,FALSE,,,,,
Former OMR Embassy,Desert of Gett,CRP,OldManReidGaming,73,68,2019,TRUE,-294,308,FALSE,FALSE,,,,,
Evan Base East RR Stop,Desert of Gett,UN,Yahtta,67,64,2020,TRUE,-301,540,FALSE,FALSE,,,,,
The Log,Desert of Gett,CRP,OldManReidGaming,74,72,2019,TRUE,-362,369,FALSE,FALSE,,Statues,,,
Harbor House #1,Desert of Gett,IOK,TallerFiber1,69,63,2024,TRUE,-325,631,FALSE,FALSE,,,,,
Harbor House #2,Desert of Gett,IOK,TallerFiber1,69,63,2024,TRUE,-315,635,FALSE,FALSE,,,,,
St. Wend's Cathedral,Dinav Floating Platform,CDS,Danav215,90,66,2019,TRUE,-30,-74,FALSE,FALSE,,,,,
Danav's Frigate,Dinav Floating Platform,CDS,Danav215,80,63,2019,TRUE,-22,-23,FALSE,FALSE,,,,,
SS Old Man Reid,Dinav Floating Platform,CDS,Danav215,80,63,2019,TRUE,-22,-26,FALSE,FALSE,,Specialty,,,
Danav's House,Dinav Floating Platform,CDS,Danav215,76,66,2019,TRUE,-35,-57,FALSE,FALSE,,,,,
Camp,Dinav Floating Platform,CDS,Danav215,70,66,2019,TRUE,-23,-60,FALSE,FALSE,,,,,
Yee Ol' Graveyard,Dinav Floating Platform,CDS,Danav215,67.5,66,2019,TRUE,-42,-75,FALSE,FALSE,,,,,
Grumpartment of Manifest Destiny,East Grum Chum,IOK,TallerFiber1,94,78,2021,TRUE,249,73,FALSE,FALSE,,Grum Brutalist,,,
Condo from Hell,East Grum Chum,IOK,TallerFiber1,83.5625,68,2022,TRUE,288,101,FALSE,FALSE,,,,,
Isle of Knoo Forestry Division HQ,East Grum Chum,IOK,TallerFiber1,76.5625,71,2022,TRUE,290,72,FALSE,FALSE,,,,,
Guanknoonamo Food Shop for Nether Travlers,East Grum Chum,IOK,TallerFiber1,75,72,2022,TRUE,264,108,FALSE,FALSE,,,,,
The Knice Center,East Grum Chum,IOK,TallerFiber1,82,73,2023,FALSE,265,31,FALSE,FALSE,,,,,
New Tall Grum Tower,East Grum Chum,IOK,TallerFiber1,113,63,2024,TRUE,321,34,FALSE,FALSE,,,,,
Grum River Building,East Grum Chum,IOK,,68.5,63,2025,TRUE,365,34,FALSE,FALSE,Eligible,,,,
East Grum Chum Elevator,East Grum Chum,IOK,TallerFiber1,82.5,64,2025,TRUE,333,14,FALSE,FALSE,Eligible,,,,
Big Black Cock House (BBC House),East How Water River,QC,Vlueban,90,71,2019,TRUE,-248,83,FALSE,FALSE,,,,,
Creeper Farm,East How Water River,QC,Cowman7,84,70,2020,TRUE,-234,129,FALSE,FALSE,,Farms,,,
QuInn,East How Water River,QC,Vlueban,81,70,2019,TRUE,-244,57,FALSE,FALSE,,,,,
Random Ass Stone House (RASH),East How Water River,QC,Vlueban,80,70,2020,TRUE,-253,129,FALSE,FALSE,,,,,
Gay Sheep Farm,East How Water River,QC,Cowman7,77,70,2021,TRUE,-220,129,FALSE,FALSE,,,,,
Papogoda,East How Water River,QC,Vlueban,70,63,2023,FALSE,-247,40,FALSE,FALSE,,,,,
Random Ass Birtch House (RABH),East How Water River,QC,Vlueban,81.5,75,2019,TRUE,-257,99,FALSE,FALSE,,,,,
Creeper Farm AFK Platform,East How Water River,QC,Cowman7,196.0625,191,2020,TRUE,-233,127,FALSE,FALSE,,,,,
Leaf Pyramid,East How Water River,QC,Vlueban,76,71,2019,TRUE,-255,112,FALSE,FALSE,,,,,
Isaac Pillager Tower,East Lake Aternos,NOI,Axeman_76,139,63,2020,TRUE,118,-45,FALSE,FALSE,,NOI Medieval,,,
UN Apartments,East Lake Aternos,UN,Axeman_76,138,71,2020,TRUE,143,-108,FALSE,FALSE,,,,,
Offices for Subjects of First World Nations ,East Lake Aternos,NOI,"Axeman_76, Cowman7",116,70,2022,FALSE,149,-151,FALSE,FALSE,,,,,
Windmill,East Lake Aternos,NOI,Axeman_76,116,75,2020,TRUE,177,-34,TRUE,FALSE,,,,,
NOI Canyon,East Lake Aternos,NOI,Axeman_76,89,63,2020,TRUE,216,-32,FALSE,FALSE,,,,,
Reid Vegas Pumpkin Property,East Reid Vegas,EOMR,OldManReidGaming,69,63,2024,TRUE,536,620,FALSE,FALSE,,,,,
NOI Harbor,East Server Sea,NOI,Axeman_76,71,63,2022,FALSE,-222,632,FALSE,FALSE,,,,,
Jesus' New Base,East Server Sea,NOI,pretzel_captcha,77,69,2023,FALSE,-134,579,FALSE,FALSE,,,,,
Server Sea Lighthouse,East Server Sea,NOI,Axeman_76,95.5,65,2023,TRUE,-186,666,FALSE,FALSE,,,,,
NOI East Server Sea Railroad Station Hub,East Server Sea,NOI,Axeman_76,81,65,2024,FALSE,-204,579,FALSE,FALSE,,,,,
The Jesus Statue Garden,East Server Sea,NOI,pretzel_captcha,78,63,2023,FALSE,-140,617,FALSE,FALSE,,,,,
Fucking Insane Floating Island,Far Away Belizean Floating Island,BEL,YerLoss,170,88,2024,FALSE,-11600,-118,FALSE,FALSE,,,,,
Squid Farm,Far Away Belizean Floating Island,BEL,Kazeroni,64,57,2024,TRUE,-10934,1228,FALSE,FALSE,,,,,
BSS YerLoss,Far Away Belizean Floating Island,BEL,YerLoss,122.5,63,2025,TRUE,-11100,-315,FALSE,FALSE,Eligible,,,,
Pene Tower - East,Far East District,EOMR,OldManReidGaming,81,70,2020,TRUE,351,133,FALSE,FALSE,,,,,
OMR vs. Knoo War Memorial,Far East District,EOMR,TallerFiber1,73,66,2022,TRUE,361,96,FALSE,FALSE,,,,,
OMR Sawmill & Lumber Co. HQ,Far East District,EOMR,OldManReidGaming,75,69,2020,TRUE,331,128,FALSE,FALSE,,OMR Primitive,,,
OMR Far East Storage Center,Far East District,EOMR,OldManReidGaming,67,63,2020,TRUE,502,61,FALSE,FALSE,,OMR Primitive,,,
Canal to Jungle/Bamboo/Mangrove,Far Northwest,NOI,Axeman_76,65,63,2024,TRUE,-1220,-658,FALSE,FALSE,,,,,
Gateway to Jungle/Bamboo/Mangrove Canal,Far Northwest,NOI,Axeman_76,64,63,2025,TRUE,-1366,-731,FALSE,FALSE,Eligible,,,,
Minyggrisil,Far South Tundra,EOMR,OldManReidGaming,186,177,2022,TRUE,-531,884,FALSE,FALSE,,Statues,,,
Lighthouse,Gaylard Plains,NEL,Cowman7,137,72,2021,TRUE,-487,227,FALSE,FALSE,,Ungle Renaissance,,,
The Papo Tavern ,Gaylard Plains,QC,"Cowman7, Vlueban",97,74,2022,TRUE,-545,242,FALSE,FALSE,,,,,
The Church,Gaylard Plains,QC,Vlueban,88,72,2022,TRUE,-583,244,FALSE,FALSE,,,,,
Gaylard Gasthaus,Gaylard Plains,NEL,Cowman7,83.5,72,2022,TRUE,-485,265,FALSE,FALSE,,,,,
Lesser Lighthouse Village,Gaylard Plains,NEL,Cowman7,78.5,72,2022,FALSE,-500,278,FALSE,FALSE,,,,,
Mount Knoovius,Grumpeii,IOK,OldManReidGaming,84,69,2023,TRUE,384,-38,FALSE,FALSE,,,,,
The Oricle at Grumpaii,Grumpeii,IOK,TallerFiber1,76,70,2023,TRUE,360,-23,FALSE,FALSE,,,,,
Grumpaii Ruins,Grumpeii,IOK,TallerFiber1,76,71,2023,TRUE,374,-16,FALSE,FALSE,,,,,
Charlie & Miranda's Dick,GuanKnoonamo,IOK,TallerFiber1,118,67,2019,TRUE,77,37,FALSE,FALSE,,Statues,,,
GuanKnoonamo Watchtower,GuanKnoonamo,IOK,TallerFiber1,98,68,2020,TRUE,108,100,FALSE,FALSE,,,,,
GuanKnoonamo Farms,GuanKnoonamo,IOK,Yahtta,92,72,2019,TRUE,75,97,FALSE,FALSE,,Farms,,,
Giant Crafting Table House,GuanKnoonamo,IOK,"Axeman_76, Cowman7",87,71,2019,TRUE,75,70,FALSE,FALSE,,Crafting Table,,,
Knoo Harbor,GuanKnoonamo,IOK,TallerFiber1,73,63,2020,TRUE,33,100,FALSE,FALSE,,Grum Modernist,,,
"Knoo Court: The Law ""Center"" of the ""Developed"" World",GuanKnoonamo,IOK,TallerFiber1,78,70,2019,TRUE,70,107,FALSE,FALSE,,Grum Primative,,,
Grum Station,GuanKnoonamo,UN,OldManReidGaming,71,64,2019,TRUE,20,48,TRUE,FALSE,,,,,
Knoo House 2.0,GuanKnoonamo,IOK,TallerFiber1,74,67,2019,TRUE,53,64,FALSE,FALSE,,Grum Primative,,,
Wind Whispering Yoga Studio,GuanKnoonamo,IOK,TallerFiber1,73,67,2020,TRUE,82,51,FALSE,FALSE,,Grum Primative,,,
GuanKnoonamo Company Trade Post,GuanKnoonamo,IOK,TallerFiber1,74,70,2019,TRUE,120,83,FALSE,FALSE,,Grum Primative,,,
GuanKnoonamo Storage,GuanKnoonamo,IOK,TallerFiber1,74,70,2019,TRUE,61,99,FALSE,FALSE,,Grum Primative,,,
Knoo Brothel of Objects also GuanKnoonamo Motel,GuanKnoonamo,IOK,TallerFiber1,75,72,2019,TRUE,65,88,FALSE,FALSE,,Grum Primative,,,
OMR Homeless Encampment,Homeless Haven,EOMR,OldManReidGaming,75,71,2024,TRUE,443,316,FALSE,FALSE,,3rd-World Eyesores,,,
The Homeless Flatlands of Reid Plains Governal Building,Homeless Haven,EOMR,OldManReidGaming,78,69,2024,TRUE,426,348,FALSE,FALSE,,,,,
Yee New Graveyard,Homeless Haven,EOMR,OldManReidGaming,73.5,72,2024,TRUE,481,337,FALSE,FALSE,,,,,
Bone Zone No Home Zone,Homeless Haven,EOMR,OldManReidGaming,,,2024,FALSE,439,375,FALSE,FALSE,,,,,
Homeless Sign,Homeless Haven,EOMR,Axeman_76,79,71,2024,TRUE,407,326,FALSE,FALSE,,,,,
Evan's Ocean Villa,Isle of Evan,CRP,Yahtta,71.5,68,2019,TRUE,-379,732,FALSE,FALSE,,,,,
GuanKnoonamo Bay Prison Tower,Isle of Knoo,IOK,TallerFiber1,92,65,2019,TRUE,0,35,FALSE,FALSE,,,,,
Knoo Shed,Isle of Knoo,IOK,TallerFiber1,72,63,2019,TRUE,0,66,FALSE,FALSE,,Grum Primative,,,
Knew Knoo Tower 1,Knew Knoo City,IOK,TallerFiber1,165.4375,75,2023,FALSE,222,-8,FALSE,FALSE,,,,,
NOI-IOK Embassy,Knew Knoo City,NOI,Axeman_76,104,75,2020,TRUE,207,32,FALSE,FALSE,,,,,
Grum Manor,Knew Knoo City,IOK,Axeman_76,106,82,2020,TRUE,195,61,FALSE,FALSE,,,,,
Knew Knoo Hotel,Knew Knoo City,IOK,TallerFiber1,92,75,2020,TRUE,194,15,FALSE,FALSE,,Grum Modernist,,,
St. Paul's Cathedral,Knew Knoo City,IOK,TallerFiber1,85,72,2020,TRUE,143,19,FALSE,FALSE,,,,,
Grand Isle of Knoo Capitol,Knew Knoo City,IOK,TallerFiber1,86,75,2020,TRUE,224,17,FALSE,FALSE,,Grum Brutalist,,,
Grum Zoo/Shopping Mall/Basketball Court/Farm,Knew Knoo City,IOK,TallerFiber1,83,72,2020,TRUE,145,58,FALSE,FALSE,,,,,
Influence Station,Knew Knoo City,UN,"Axeman_76, Cowman7",72.5,63,2019,TRUE,109,5,FALSE,FALSE,,,,,
Mountaintop Birch House,Knew Knoo City,IOK,TallerFiber1,99,92,2021,TRUE,223,45,FALSE,FALSE,,,,,
Knew Knoo City Information Center,Knew Knoo City,IOK,TallerFiber1,83,75,2020,TRUE,196,38,FALSE,FALSE,,Grum Primative,,,
EOMR-IOK Embassy,Knew Knoo City,EOMR,OldManReidGaming,78,75,2021,TRUE,184,35,FALSE,FALSE,,,,,
Grum Waterways Knoocuaduct,Knew Knoo City,IOK,TallerFiber1,78,70,2023,TRUE,294,-10,FALSE,FALSE,,,,,
Grum Waterways Headquarters,Knew Knoo City,IOK,TallerFiber1,91.4375,81,2023,TRUE,243,11,FALSE,FALSE,,,,,
Grumdenburg Gate,Knew Knoo City,IOK,TallerFiber1,111,81,2024,TRUE,305,-10,FALSE,FALSE,,,,,
Floating Tree House,Komsomolsk na Amure,CRP,Yahtta,106,89,2019,TRUE,-475,366,FALSE,FALSE,,Gett Ruins,,,
Bamboo Farm,Komsomolsk na Amure,CRP,Yahtta,77.5,66,2019,TRUE,-507,385,FALSE,FALSE,,Farms,,,
Cactus Farm,Komsomolsk na Amure,CRP,Yahtta,78,67,2019,TRUE,-527,387,FALSE,FALSE,,Farms,,,
Crafting Table House,Komsomolsk na Amure,CRP,"Cowman7, Axeman_76",77,71,2019,TRUE,-471,378,FALSE,FALSE,,Crafting Table,,,
Mining Dome,Komsomolsk na Amure,CRP,Yahtta,74,69,2019,TRUE,-463,419,FALSE,FALSE,,,,,
Komsomolsk na Amure Station,Komsomolsk na Amure,UN,Yahtta,74,69,2019,TRUE,-468,396,FALSE,FALSE,,,,,
Lulu Tower,Lulu Island,BEL,LuluLikeThat,129,75,2024,TRUE,-1314,87,FALSE,FALSE,,,,,
Lulu Pavilion,Lulu Island,BEL,LuluLikeThat,75,63,2024,TRUE,-1351,73,FALSE,FALSE,,,,,
Bridge to Lulu Island,Lulu Island,BEL,LuluLikeThat,87,63,2024,TRUE,-1277,91,FALSE,FALSE,,,,,
The Boner Zoner,Maybe Grum Forest,IOK,OldManReidGaming,87.4375,71,2023,TRUE,292,-69,FALSE,FALSE,,Farms,,,
Eastern Outpost,Maybe Grum Forest,NOI,Axeman_76,99,88,2024,TRUE,379,-139,FALSE,FALSE,,,,,
Emmy Hut,Maybe Grum Forest,IOK,,87.5625,80,2025,TRUE,307,-47,FALSE,FALSE,Eligible,,,,
Emmy House,Maybe Grum Forest,IOK,,93,80,2025,TRUE,324,-70,FALSE,FALSE,Eligible,,,,
UN Elevator,Near Colonies Mainland,UN,"Axeman_76, Cowman7",191,71,2024,TRUE,-366,5137,FALSE,FALSE,,,,,
Axehouseman,Near Colonies Mainland,NOI,Axeman_76,75,71,2024,TRUE,-378,5169,FALSE,FALSE,,,,,
Blackstone Bridge,Nelson Mountain Colony,NEL,Cowman7,119,65,2022,TRUE,-274,-19616,FALSE,FALSE,,,,,
Ungle Bridge Guard,Nelson Mountain Colony,NEL,Cowman7,125,118,2022,TRUE,-169,-19623,FALSE,FALSE,,Statues,,,
Tree Farm,Nelsonia Heartland,NEL,"Cowman7, Vlueban",103,64,2020,TRUE,-309,127,FALSE,FALSE,,Farms,,,
Nelson's House,Nelsonia Heartland,NEL,Cowman7,86,64,2020,TRUE,-353,58,FALSE,FALSE,,Ungle Renaissance,,,
Nelsonia Tree Service LLC,Nelsonia Heartland,NEL,Cowman7,84,64,2021,TRUE,-312,146,FALSE,FALSE,,,,,
Sorting System,Nelsonia Heartland,NEL,Cowman7,75,64,2020,TRUE,-369,99,FALSE,FALSE,,Ungle Renaissance,,,
Nelson's Nether Portal,Nelsonia Heartland,NEL,Cowman7,73.5,64,2020,TRUE,-333,42,FALSE,FALSE,,,,,
Billboard,Nelsonia Heartland,NEL,Cowman7,73,64,2020,TRUE,-348,90,FALSE,FALSE,,Statues,,,
UN Nelsonia RR Stop,Nelsonia Heartland,UN,Axeman_76,72,64,2023,FALSE,-308,89,TRUE,FALSE,,,,,
The Nelsonia Tower of Peace and Prosperity,Nelsonia Heartland,NEL,Cowman7,78,64,2022,FALSE,-408,76,FALSE,FALSE,,Ungle Modernist,,,
pai n.,Nelsonia Heartland,NEL,Cowman7,69,64,2021,TRUE,-337,111,FALSE,FALSE,,Statues,,,
Mining House,Nelsonia Heartland,NEL,Cowman7,69,64,2020,TRUE,-380,61,FALSE,FALSE,,Ungle Reconstruction,,,
Nelson's Bees,Nelsonia Heartland,NEL,Cowman7,69,64,2021,TRUE,-311,146,FALSE,FALSE,,,,,
Nether Storage,Nelsonia Heartland,NEL,Cowman7,68,64,2020,TRUE,-311,54,FALSE,FALSE,,Ungle Reconstruction,,,
Utility Shed,Nelsonia Heartland,NEL,Cowman7,68,64,2020,TRUE,-325,75,FALSE,FALSE,,Ungle Reconstruction,,,
Ungle Original Mine,Nelsonia Heartland,NEL,Cowman7,67,64,2020,TRUE,-328,127,FALSE,FALSE,,Ungle Reconstruction,,,
Megyggrisil,Nelsonia Heartland,NEL,Cowman7,105,64,2023,FALSE,-369,153,FALSE,FALSE,,Ungle Modernist,,,
Nelsonia Capital,Nelsonia Heartland,NEL,Cowman7,101,69,2024,FALSE,-460,147,FALSE,FALSE,,,,,
Allay Cage,Nelsonia Heartland,NEL,Cowman7,70,64,2022,TRUE,-340,83,FALSE,FALSE,,,,,
Far Far Away Villager Trading Hut,Nelsonian Buildboard Lands,NEL,Cowman7,66,63,2024,TRUE,4788,-139,FALSE,FALSE,,,,,
Giant Nelsonian Floating Builboard,Nelsonian Buildboard Lands,NEL,Cowman7,316,309,2024,FALSE,4863,0,FALSE,FALSE,,,,,
Crane,New Belize Mainland,BEL,YerLoss,100.5,80,2023,TRUE,-957,138,FALSE,FALSE,,,,,
Huge Yer Compound,New Belize Mainland,BEL,YerLoss,107.5625,63,2023,FALSE,-952,196,FALSE,FALSE,,,,,
Wasteful Factory,New Belize Mainland,BEL,YerLoss,99,65,2024,TRUE,-792,305,FALSE,FALSE,,,,,
New Belize Outer Walls,New Belize Mainland,BEL,YerLoss,107.5625,63,2024,TRUE,-895,294,FALSE,FALSE,,,,,
Reid's Armor Stand Building,New Reid City,EOMR,OldManReidGaming,158,67,2022,TRUE,-7,389,FALSE,TRUE,Won,OMR Modernist,,,
Isaac Investments New Reid Building,New Reid City,NOI,Axeman_76,164.5,66,2022,FALSE,-10,437,FALSE,FALSE,,,,,
OMR Report building,New Reid City,EOMR,OldManReidGaming,114,65,2023,FALSE,36,407,FALSE,FALSE,,,,,
